brand_id,brand
528,Yonex
529,Spira
530,Muvin Fitness
531,X-Terra
532,ProKennex
533,TopSpin
534,Dunlop
535,Volkl
536,Banana Boat
537,Energizer
538,Gamma
539,Gioco
540,Luxilon
541,Signum Pro
542,Sonic
543,Toalson
544,Tourna
545,Pró Spin
546,Slazenger
547,LCM
548,Spin
549,Kangoo Jumps
550,Unique Tourna
551,BallPort
552, Nick Bollettieri
553,TenisBrasil
554,KBA
555,Vollo
556,Drop Shot
557,SKLZ
558,Beach Bike
559,Jeep
560,Zebra
561,Hocks
562,E-Club
563,Powerslide
564,Undercover
565,Rollerblade
566,Kizer
567,Xsjado
568,USD
569,Movimento Brasil
570,Punch sports
571,Dragão
572,USP Labs
573,Pro Tork
574,Nike SB
575,Nitech Sports
576,Eveready
577,X-Fusion
578,Powell Peralta
579,Mini Logo
580,Monsterball
581,Chá Mais
582,West Coast
583,Gu Sports
584,Equaliv
585,New Skate
586,Johnson
587,DLK
588,Metalmix
589,Muvin Natação
590,Muvin Fight
591,Zéfal
592,JS
593,Komunity
594,Ocean Earth
595,Lez a Lez
596,Keds
597,Givi
598,Simon Anderson
599,4Fun Skateboards
600,Token
601,Harley Davidson
602,Red Nose Fitness
603,Ahead Sports
604,Emery
605,SRS Surboards
606,Mrs Candy
607,Mega Ramp
608,Sandro Dias
609,Tail Devil
610,Next
611,CDR
612,Snapy
613,Tropical Brasil
614,Al Merrick
615,Ha Ha Ha
616,Ozel
617,WaveGrip
618,Airoh
619,Ixon
620,Evos
621,Fischer
622,Fast Skates
623,Funkier
624,Uvex
625,Nathor
626,Cressi
627,Loucos e Santos
628,Etonic
629,Mares
630,Chantal
631,Thorlos
632,Mayna
633,Miriam
634,Nice One
635,Levi’s Skateboarding
636,Unique
637,Butterfly
638,Stiga
639,Nassau
640,Fast Ball
641,Power
642,Penn
643,Srixon
644,Porta Medalhas
645,McNett
646,Zip Tech
647,Master
648,LP
649,Wrist
650,Max Wax
651,Princeton Tec
652,BagBoy
653,Revista Tênis
654,Meyer Tênis
655,Pucket
656,Converse Skateboard
657,O'neal Fitness
658,Refactor
659,E-Totem
660,Eurox
661,6AM
662,Gaerne
663,Leatherman
664,Sog
665,Gerber
666,Led Lenser
667,Full Fighter
668,Rubber Sticky
669,JC
670,Punchtown
671,Clinch Gear
672,Caju Brasil
673,Infighting
674,Pretorian Fitness
675,X-1 Audio
676,Timex
677,Converse Premium
678,Adidas Originals
679,Scorpion
680,Sunthrice
681,Hagil Wheels
682,Power Light
683,LUC
684,Black Flea
685,Diesel
686,Fossil
687,Michael Kors
688,Guess
689,Mondaine
690,Seculus
691,Throwdown
692,Northpak
693,Venum
694,Alpinestars Cycling
695,Cep
696,Camelbak
697,Sevylor
698,Abu Garcia
699,Berkley
700,DX-3
701,Troy Lee
702,Pocket Pistols
703,Shakespeare
704,Backyardigans
705,MoveGreen
706,Eastpak
707,Mar Cristal
708,Bridgestone
709,Tito Bikes
710,Real Skateboards
711,Chocolate Skateboards
712,Girl Skateboards
713,Spitfire
714,Pró Bike
715,Kirra
716,BR Parts
717,Guga Kuerten
718,Fox Ciclismo
719,Excel
720,Lay Back
721,Compressport
722,G-Shock
723,Kolami
724,KHS
725,River
726,Cisco
727,Flying
728,WRX
729,Fuji
730,Saúde Já
731,Atlas Brace
732,Sunstar
733,DR.D
734,Speedo Fitness
735,Limar
736,Cepall
737,Water Rower
738,Mary Jane
739,Cardo
740,Monark
